"weight";"lat";"lon"
"4001";"52.269";"4.697"
"3853";"52.277";"4.713"
"3172";"52.397";"4.721"
"3016";"52.253";"4.681"
"2948";"52.269";"4.705"
"2763";"52.413";"4.721"
"2649";"52.493";"4.729"
"2473";"52.405";"4.721"
"2469";"52.485";"4.729"
"2328";"52.261";"4.689"
"2318";"52.389";"4.721"
"2308";"52.469";"4.729"
"2239";"52.501";"4.729"
"2211";"52.277";"4.721"
"2114";"52.245";"4.681"
"2054";"52.261";"4.681"
"1987";"52.237";"4.681"
"1983";"52.509";"4.729"
"1912";"52.421";"4.721"
"1675";"52.229";"4.593"
"1663";"52.477";"4.729"
"1632";"52.365";"4.713"
"1568";"52.229";"4.689"
"1540";"52.453";"4.721"
"1487";"52.213";"4.737"
"1435";"52.317";"4.881"
"1380";"52.085";"4.761"
"1358";"52.317";"4.945"
"1355";"52.317";"4.873"
"1333";"52.317";"4.961"
"1322";"52.221";"4.577"
"1311";"52.325";"5.089"
"1309";"52.317";"4.969"
"1292";"52.317";"4.977"
"1277";"52.237";"4.625"
"1269";"52.517";"4.729"
"1267";"52.333";"5.089"
"1245";"52.317";"4.985"
"1242";"52.269";"5.089"
"1239";"52.317";"4.833"
"1230";"52.317";"4.953"
"1213";"52.221";"4.569"
"1206";"52.229";"4.601"
"1205";"52.533";"4.729"
"1196";"52.229";"4.697"
"1195";"52.237";"4.689"
"1188";"52.197";"4.793"
"1178";"52.189";"4.809"
"1175";"52.317";"4.937"
"1172";"52.173";"4.849"
"1164";"52.221";"4.705"
"1151";"52.197";"4.785"
"1149";"52.205";"4.761"
"1148";"52.221";"4.697"
"1138";"52.189";"4.817"
"1135";"52.317";"4.817"
"1129";"52.205";"4.769"
"1127";"52.213";"4.745"
"1126";"52.325";"5.025"
"1123";"52.245";"4.665"
"1115";"52.317";"4.993"
"1111";"52.325";"5.033"
"1110";"52.373";"4.721"
"1109";"52.325";"5.017"
"1105";"52.317";"4.913"
"1099";"52.453";"4.753"
"1098";"52.325";"5.041"
"1094";"52.317";"4.889"
"1088";"52.237";"4.617"
"1082";"52.325";"5.049"
"1080";"52.461";"4.753"
"1071";"52.277";"4.729"
"1070";"52.181";"4.833"
"1063";"52.317";"4.865"
"1063";"52.325";"5.009"
"1053";"52.253";"4.673"
"1053";"52.181";"4.841"
"1044";"52.221";"4.713"
"1033";"52.229";"4.585"
"1032";"52.317";"4.825"
"1031";"52.325";"5.057"
"1009";"52.245";"4.633"
"1007";"52.525";"4.729"
"1006";"52.181";"4.849"
"1001";"52.389";"4.921"
"985";"52.317";"4.921"
"982";"52.165";"4.753"
"978";"52.325";"5.065"
"978";"52.317";"4.857"
"968";"52.325";"5.073"
"946";"52.149";"4.761"
"946";"52.229";"4.609"
"938";"52.213";"4.729"
"936";"52.213";"4.553"
"932";"52.197";"4.729"
"928";"52.325";"5.081"
"926";"52.381";"4.721"
"922";"52.141";"4.761"
"917";"52.133";"4.761"
"916";"52.173";"4.745"
"911";"52.189";"4.729"
"900";"52.173";"4.857"
"891";"52.221";"4.721"
"889";"52.237";"4.641"
"876";"52.253";"4.849"
"876";"52.237";"4.649"
"872";"52.245";"4.657"
"871";"52.405";"4.945"
"868";"52.125";"4.761"
"865";"52.221";"4.585"
"860";"52.317";"4.809"
"858";"52.229";"4.681"
"855";"52.173";"4.865"
"854";"52.429";"4.721"
"854";"52.213";"4.561"
"852";"52.461";"4.729"
"850";"52.117";"4.761"
"846";"52.205";"4.777"
"835";"52.445";"4.753"
"835";"52.261";"4.849"
"834";"52.181";"4.945"
"833";"52.309";"4.897"
"832";"52.213";"4.713"
"830";"52.109";"4.761"
"820";"52.509";"4.761"
"816";"52.309";"4.905"
"804";"52.197";"4.801"
"801";"52.101";"4.761"
"801";"52.509";"5.561"
"801";"52.085";"4.849"
"800";"52.397";"4.929"
"799";"52.301";"4.929"
"798";"52.477";"4.761"
"794";"52.213";"4.753"
"787";"52.541";"4.721"
"785";"52.245";"4.641"
"779";"52.213";"4.545"
"776";"52.237";"4.633"
"773";"52.093";"4.761"
"769";"52.309";"4.889"
"767";"52.509";"5.569"
"766";"52.517";"4.761"
"764";"52.301";"4.937"
"762";"52.317";"4.905"
"754";"52.413";"4.953"
"752";"52.269";"4.689"
"751";"51.917";"4.137"
"749";"52.301";"4.921"
"745";"52.173";"4.873"
"745";"52.205";"4.537"
"743";"52.293";"4.953"
"743";"52.213";"4.705"
"742";"52.573";"4.665"
"741";"52.293";"4.961"
"740";"52.229";"4.617"
"737";"52.381";"4.905"
"735";"52.181";"4.737"
"732";"52.317";"5.001"
"728";"52.181";"4.937"
"724";"52.317";"4.841"
"724";"52.245";"4.849"
"723";"52.245";"4.673"
"715";"52.565";"4.681"
"714";"52.157";"4.761"
"712";"52.269";"4.713"
"711";"52.237";"4.849"
"709";"52.205";"5.089"
"707";"51.933";"4.161"
"701";"52.373";"4.745"
"700";"52.205";"4.753"
"699";"52.181";"4.953"
"697";"52.421";"4.969"
"697";"52.293";"4.969"
"693";"52.277";"5.049"
"690";"52.189";"4.993"
"690";"51.973";"4.217"
"689";"52.173";"4.897"
"688";"52.389";"4.753"
"687";"52.229";"4.849"
"682";"52.189";"4.985"
"679";"52.181";"4.961"
"679";"52.173";"4.881"
"678";"52.277";"5.033"
"677";"52.173";"4.905"
"676";"52.189";"5.001"
"676";"52.285";"5.009"
"674";"52.285";"5.001"
"674";"52.173";"4.889"
"673";"52.277";"5.041"
"673";"52.285";"4.993"
"672";"52.237";"4.609"
"671";"52.445";"4.721"
"670";"52.429";"4.977"
"668";"52.285";"5.017"
"668";"52.317";"4.897"
"666";"52.373";"4.897"
"665";"52.277";"5.057"
"664";"52.285";"4.985"
"664";"52.549";"4.705"
"663";"52.205";"4.721"
"663";"52.261";"4.673"
"663";"52.205";"4.529"
"658";"52.173";"4.913"
"656";"52.173";"4.921"
"652";"51.909";"4.129"
