"weight";"lat";"lon"
"123";"52.165";"4.299"
"123";"52.535";"4.859"
"123";"52.085";"4.379"
"122";"52.175";"4.859"
"122";"52.485";"4.129"
"122";"52.215";"4.809"
"121";"52.165";"4.289"
"121";"51.995";"4.249"
"121";"52.245";"4.929"
"121";"52.625";"5.089"
"121";"52.235";"5.229"
"120";"51.925";"3.139"
"120";"52.065";"4.789"
"120";"52.155";"4.259"
"120";"52.245";"5.129"
"120";"52.225";"4.709"
"120";"52.545";"4.709"
"120";"51.925";"4.769"
"120";"52.175";"4.349"
"120";"52.325";"5.119"
"119";"51.915";"4.759"
"119";"52.175";"4.359"
"119";"52.575";"4.629"
"119";"52.485";"5.499"
"119";"52.175";"4.369"
"119";"51.575";"4.499"
"119";"52.575";"4.639"
"119";"51.875";"4.729"
"118";"52.195";"4.769"
"118";"52.475";"5.479"
"118";"52.195";"4.429"
"118";"52.245";"4.799"
"118";"52.575";"4.619"
"118";"52.495";"4.089"
"117";"52.495";"4.739"
"117";"52.235";"5.239"
"117";"52.055";"4.769"
"117";"52.245";"5.139"
"117";"52.205";"4.809"
"117";"52.245";"4.919"
"116";"52.485";"4.109"
"116";"52.475";"4.149"
"116";"52.515";"4.009"
"116";"52.485";"4.119"
"116";"52.555";"4.689"
"115";"51.795";"4.669"
"115";"52.235";"5.249"
"115";"52.235";"5.259"
"115";"52.515";"3.989"
"115";"52.055";"4.789"
"115";"52.485";"5.509"
"115";"52.535";"4.849"
"115";"52.475";"4.159"
"114";"52.515";"3.999"
"114";"52.245";"5.149"
"113";"52.245";"4.909"
"113";"52.385";"4.919"
"113";"52.515";"3.979"
"113";"52.075";"4.769"
"113";"52.535";"4.839"
"113";"52.155";"4.249"
"113";"52.245";"4.859"
"112";"51.935";"4.169"
"112";"52.535";"4.869"
"112";"52.505";"4.769"
"112";"52.255";"4.829"
"112";"51.785";"4.659"
"112";"52.475";"5.489"
"111";"52.205";"4.739"
"111";"52.475";"4.169"
"111";"52.185";"4.769"
"111";"52.125";"4.759"
"110";"51.935";"4.769"
"110";"52.185";"4.419"
"110";"52.085";"4.399"
"110";"52.515";"5.589"
"110";"52.275";"4.499"
"110";"52.465";"5.459"
"110";"52.525";"4.769"
"110";"52.185";"4.379"
"110";"51.845";"4.709"
"109";"52.185";"4.739"
"109";"52.285";"4.489"
"109";"52.215";"4.579"
"108";"52.355";"4.749"
"108";"52.495";"5.509"
"108";"52.145";"4.209"
"108";"51.745";"4.629"
"108";"51.905";"4.119"
"108";"52.515";"4.739"
"108";"52.065";"4.769"
"108";"52.465";"4.199"
"107";"51.925";"3.169"
"107";"52.565";"4.669"
"107";"52.385";"5.239"
"107";"52.165";"4.749"
"107";"52.465";"4.209"
"107";"51.705";"4.599"
"107";"52.315";"5.089"
"107";"52.465";"5.449"
"107";"52.495";"5.599"
"106";"52.045";"4.769"
"106";"52.545";"4.879"
"106";"51.985";"4.239"
"106";"51.825";"4.689"
"106";"52.095";"4.769"
"106";"52.145";"4.229"
"106";"52.395";"4.929"
"105";"52.495";"4.079"
"105";"52.505";"5.529"
"105";"52.035";"4.309"
"105";"52.245";"4.529"
"105";"52.385";"5.229"
"105";"52.505";"4.029"
"105";"52.155";"4.279"
"105";"52.045";"4.789"
"105";"52.255";"4.519"
"105";"52.205";"4.729"
"105";"52.035";"4.789"
"104";"52.145";"4.219"
"104";"51.945";"4.169"
"104";"52.345";"5.089"
"104";"52.245";"4.879"
"104";"52.495";"5.609"
"104";"52.175";"4.839"
"104";"52.505";"4.739"
"103";"52.185";"4.979"
"103";"52.135";"4.169"
"103";"52.015";"4.279"
"103";"52.225";"5.279"
"103";"52.245";"5.159"
"103";"52.265";"4.509"
"103";"52.205";"4.549"
"103";"51.885";"4.109"
"103";"52.405";"5.089"
"103";"52.055";"4.339"
"102";"52.435";"4.319"
"102";"52.245";"5.169"
"102";"52.025";"4.769"
"102";"52.075";"4.369"
"102";"52.185";"4.969"
"102";"52.175";"4.869"
"102";"52.035";"4.769"
"102";"51.965";"4.199"
"102";"52.145";"4.759"
"102";"52.245";"4.819"
"102";"51.935";"3.189"
"101";"52.435";"4.329"
"101";"52.495";"5.499"
"101";"52.085";"4.759"
"101";"52.555";"4.739"
"101";"52.155";"4.239"
